	rtt	tmp	targetedvscwnd	diff	average	output
347	0.0223418	0.984948	0.984791	36	0.0223418	0
348	0.0223418	0.984948	0.984791	36	0.0223418	0
349	0.0223418	0.984948	0.984791	36	0.0223418	0
350	0.0389376	0.565147	0.984797	36	0.0278737	1
351	0.0389376	0.565147	0.984797	36	0.0334057	1
352	0.0389376	0.565147	0.984797	36	0.0389376	1
353	0.0389376	0.565147	0.984797	36	0.0389376	1
354	0.0389376	0.565147	0.984797	36	0.0389376	1
355	0.0389376	0.565147	0.984797	36	0.0389376	1
356	0.0603901	0.364388	0.565034	1030	0.0460885	1
357	0.0603901	0.364388	0.565034	1030	0.0532393	1
358	0.0603901	0.364388	0.565034	1030	0.0603901	1
359	0.0603901	0.364388	0.565034	1030	0.0603901	1
360	0.0603901	0.364388	0.565034	1030	0.0603901	1
361	0.0603901	0.364388	0.565034	1030	0.0603901	1
362	0.0573399	0.383772	0.36402	1506	0.0593734	1
